Genus	covariate	effect_unit	estimated_log_effect	standard_error	approximate_ci_lower	approximate_ci_upper	p_value	q_value_BH	differential_robust	simulated_true_log_effect	simulated_true_signal	estimate_error	absolute_estimate_error	sign_matches_truth	truth_within_approximate_interval	recovery_classification
Genus_01	Batch 2	Batch2 versus Batch1	0.00812720342748175	0.204294471509829	-0.392289960731783	0.408544367586747	0.968413797855668	0.968413797855668	FALSE	0	FALSE	0.00812720342748175	0.00812720342748175	NA	TRUE	Non-robust result at simulated null
Genus_02	Batch 2	Batch2 versus Batch1	0.102455912554685	0.203399546479069	-0.29620719854429	0.50111902365366	0.616508762191432	0.968413797855668	FALSE	0	FALSE	0.102455912554685	0.102455912554685	NA	TRUE	Non-robust result at simulated null
Genus_03	Batch 2	Batch2 versus Batch1	-0.165594940371525	0.196857753125145	-0.551436136496809	0.220246255753759	0.40395071300478	0.968413797855668	FALSE	0	FALSE	-0.165594940371525	0.165594940371525	NA	TRUE	Non-robust result at simulated null
Genus_04	Batch 2	Batch2 versus Batch1	-0.267430372974267	0.185061997036022	-0.63015188716487	0.0952911412163361	0.154212283876231	0.968413797855668	FALSE	0	FALSE	-0.267430372974267	0.267430372974267	NA	TRUE	Non-robust result at simulated null
Genus_05	Batch 2	Batch2 versus Batch1	-0.078141731338905	0.199776054017808	-0.469702797213809	0.313419334535999	0.697227963237426	0.968413797855668	FALSE	0	FALSE	-0.078141731338905	0.078141731338905	NA	TRUE	Non-robust result at simulated null
Genus_06	Batch 2	Batch2 versus Batch1	-0.0199898633685627	0.190681726099095	-0.393726046522789	0.353746319785664	0.916896227774371	0.968413797855668	FALSE	0	FALSE	-0.0199898633685627	0.0199898633685627	NA	TRUE	Non-robust result at simulated null
Genus_07	Batch 2	Batch2 versus Batch1	0.107192954962374	0.180387173039938	-0.246365904195904	0.460751814120653	0.554834324417534	0.968413797855668	FALSE	0	FALSE	0.107192954962374	0.107192954962374	NA	TRUE	Non-robust result at simulated null
Genus_08	Batch 2	Batch2 versus Batch1	0.0453094459889258	0.173936682856035	-0.295606452408903	0.386225344386754	0.795473603786028	0.968413797855668	FALSE	0	FALSE	0.0453094459889258	0.0453094459889258	NA	TRUE	Non-robust result at simulated null
Genus_09	Batch 2	Batch2 versus Batch1	-0.0377398017319502	0.186950146377026	-0.404162088630921	0.328682485167021	0.840776197317095	0.968413797855668	FALSE	0	FALSE	-0.0377398017319502	0.0377398017319502	NA	TRUE	Non-robust result at simulated null
Genus_10	Batch 2	Batch2 versus Batch1	-0.0809651183664535	0.191332085819006	-0.455976006571705	0.294045769838798	0.673855187669849	0.968413797855668	FALSE	0	FALSE	-0.0809651183664535	0.0809651183664535	NA	TRUE	Non-robust result at simulated null
Genus_11	Batch 2	Batch2 versus Batch1	0.136914200172628	0.225374557516873	-0.304819932560443	0.578648332905699	0.546115810848107	0.968413797855668	FALSE	0	FALSE	0.136914200172628	0.136914200172628	NA	TRUE	Non-robust result at simulated null
